,Número de jogos,Pontuação média,Desvio padrão da média de pontos,xG a Favor médio,Desvio padrão do xG a Favor,xG Contra médio,Desvio padrão do xG Contra
Odair Hellmann,11,1.1818181818181819,1.2504544628399563,1.009090909090909,0.544893651008241,1.3363636363636362,0.3854159500402838
Paulo Turra,6,0.8333333333333334,1.1690451944500122,0.9833333333333334,0.8109665015687557,1.5666666666666667,1.036661307596009
Diego Aguirre,5,0.6,1.3416407864998738,0.8800000000000001,0.5019960159204453,1.52,0.782304288624318
Marcelo Fernandes,15,1.4666666666666666,1.3557637102737476,1.2666666666666666,0.7612646120264682,1.2333333333333334,0.5066228051190221
