,Date,Home Team,xG Home,Score,xG Away,Away Team
189,2023-08-06,Vasco da Gama,1.8,1–0,1.5,Grêmio
190,2023-08-06,Cruzeiro,0.9,0–0,0.1,Botafogo (RJ)
191,2023-08-06,Bahia,1.7,3–1,0.4,América (MG)
192,2023-08-06,Coritiba,0.5,0–1,1.0,Bragantino
193,2023-08-06,Cuiabá,1.9,3–0,0.8,Flamengo
194,2023-08-05,Fluminense,2.6,2–1,1.0,Palmeiras
196,2023-08-13,Atlético Mineiro,1.1,1–0,0.6,Bahia
197,2023-08-13,América (MG),0.9,0–1,0.5,Goiás
198,2023-08-13,Grêmio,1.2,2–1,1.0,Fluminense
199,2023-08-13,Corinthians,2.4,3–1,0.8,Coritiba
200,2023-08-13,Fortaleza,2.6,4–0,0.5,Santos
201,2023-08-13,Flamengo,1.4,1–1,0.8,São Paulo
202,2023-08-12,Botafogo (RJ),2.3,3–1,1.7,Internacional
203,2023-08-14,Palmeiras,1.4,1–0,0.6,Cruzeiro
204,2023-08-15,Ath Paranaense,0.8,2–0,1.1,Cuiabá
205,2023-08-14,Bragantino,1.6,1–1,1.5,Vasco da Gama
207,2023-08-19,São Paulo,0.7,0–0,0.9,Botafogo (RJ)
208,2023-08-19,Internacional,1.0,0–1,1.1,Fortaleza
209,2023-08-19,Cuiabá,0.7,0–2,1.7,Palmeiras
210,2023-08-19,Fluminense,1.2,3–1,1.4,América (MG)
211,2023-08-20,Vasco da Gama,1.9,1–0,0.7,Atlético Mineiro
212,2023-08-20,Santos,1.7,2–1,0.4,Grêmio
213,2023-08-20,Bahia,1.8,4–0,0.7,Bragantino
214,2023-08-20,Coritiba,2.6,2–3,1.9,Flamengo
215,2023-08-19,Cruzeiro,2.0,1–1,0.6,Corinthians
216,2023-08-21,Goiás,1.0,1–1,1.0,Ath Paranaense
218,2023-08-26,Flamengo,0.7,0–0,0.3,Internacional
219,2023-08-27,Bragantino,1.5,2–0,0.5,Cuiabá
220,2023-08-27,Atlético Mineiro,1.6,2–0,0.7,Santos
221,2023-08-27,Botafogo (RJ),2.3,3–0,1.2,Bahia
222,2023-08-27,América (MG),1.3,2–1,1.4,São Paulo
223,2023-08-27,Palmeiras,0.7,1–0,0.1,Vasco da Gama
224,2023-08-27,Ath Paranaense,0.8,2–2,3.0,Fluminense
225,2023-08-27,Fortaleza,2.5,3–1,1.0,Coritiba
226,2023-08-27,Grêmio,1.5,3–0,0.6,Cruzeiro
227,2023-08-26,Corinthians,1.0,1–1,1.8,Goiás
229,2023-09-02,Ath Paranaense,2.0,1–1,0.4,Atlético Mineiro
230,2023-09-02,Goiás,0.9,0–0,0.7,Internacional
231,2023-09-03,Grêmio,0.7,2–0,1.1,Cuiabá
232,2023-09-03,Corinthians,0.8,0–0,0.7,Palmeiras
233,2023-09-03,Fluminense,0.6,1–0,0.9,Fortaleza
234,2023-09-03,Cruzeiro,1.2,0–0,1.2,Bragantino
235,2023-09-03,Bahia,1.7,1–1,1.1,Vasco da Gama
236,2023-09-03,América (MG),1.6,2–0,1.0,Santos
237,2023-09-02,Botafogo (RJ),1.1,1–2,0.8,Flamengo
239,2023-09-14,Santos,0.5,0–3,1.4,Cruzeiro
240,2023-09-14,Fortaleza,2.6,2–1,0.4,Corinthians
241,2023-09-14,Coritiba,1.3,2–4,3.8,Bahia
242,2023-09-13,Internacional,1.0,2–1,1.4,São Paulo
243,2023-09-13,Flamengo,0.5,0–3,2.3,Ath Paranaense
244,2023-09-15,Cuiabá,1.7,2–2,0.4,América (MG)
245,2023-09-14,Bragantino,1.3,2–0,1.3,Grêmio
246,2023-09-16,Vasco da Gama,1.4,4–2,1.9,Fluminense
247,2023-09-15,Palmeiras,1.0,1–0,0.4,Goiás
248,2023-09-16,Atlético Mineiro,1.3,1–0,0.1,Botafogo (RJ)
250,2023-09-18,Bahia,0.9,1–2,2.6,Santos
252,2023-09-18,Corinthians,1.8,4–4,1.1,Grêmio
254,2023-09-20,Goiás,0.1,0–0,0.5,Flamengo
255,2023-09-19,América (MG),1.2,0–2,1.8,Bragantino
256,2023-09-21,Vasco da Gama,3.5,5–1,0.5,Coritiba
257,2023-09-21,Ath Paranaense,0.9,2–1,0.8,Internacional
258,2023-09-20,Fluminense,0.5,1–0,0.7,Cruzeiro
259,2023-09-20,São Paulo,1.6,1–2,1.1,Fortaleza
260,2023-09-22,Corinthians,1.1,1–0,0.5,Botafogo (RJ)
261,2023-09-21,Grêmio,0.4,1–0,1.0,Palmeiras
262,2023-09-23,Atlético Mineiro,0.6,1–0,0.4,Cuiabá
264,2023-09-25,América (MG),1.6,0–1,0.8,Vasco da Gama
266,2023-09-27,São Paulo,1.6,2–1,0.8,Coritiba
268,2023-09-30,Fortaleza,1.9,1–1,1.5,Grêmio
269,2023-09-30,Flamengo,1.4,1–0,0.5,Bahia
270,2023-09-30,Cuiabá,1.2,3–0,0.2,Fluminense
271,2023-09-30,São Paulo,2.3,2–1,0.2,Corinthians
272,2023-10-01,Coritiba,0.5,2–0,0.9,Ath Paranaense
273,2023-10-01,Santos,2.4,4–1,0.9,Vasco da Gama
274,2023-10-01,Cruzeiro,0.6,1–1,1.0,América (MG)
275,2023-10-01,Bragantino,2.9,2–1,1.5,Palmeiras
276,2023-09-30,Internacional,0.8,0–2,1.4,Atlético Mineiro
277,2023-10-02,Botafogo (RJ),0.9,1–1,0.5,Goiás
279,2023-10-07,Goiás,2.7,4–6,2.0,Bahia
280,2023-10-07,Vasco da Gama,0.9,0–0,1.4,São Paulo
281,2023-10-08,Fluminense,1.1,0–2,1.9,Botafogo (RJ)
282,2023-10-08,Palmeiras,2.1,1–2,1.4,Santos
283,2023-10-08,Internacional,2.5,3–2,0.4,Grêmio
284,2023-10-08,Ath Paranaense,1.7,1–1,0.6,Bragantino
285,2023-10-08,Fortaleza,2.2,3–2,1.4,América (MG)
286,2023-10-08,Atlético Mineiro,0.6,1–2,0.8,Coritiba
287,2023-10-07,Corinthians,1.0,1–1,0.9,Flamengo
288,2023-10-14,Cuiabá,0.9,0–0,0.5,Cruzeiro
290,2023-10-18,Grêmio,1.6,1–2,0.9,Ath Paranaense
291,2023-10-18,Coritiba,1.4,0–3,0.4,Cuiabá
292,2023-10-18,América (MG),2.9,1–2,0.5,Botafogo (RJ)
293,2023-10-19,Cruzeiro,0.3,0–2,1.8,Flamengo
294,2023-10-19,Palmeiras,0.7,0–2,1.1,Atlético Mineiro
295,2023-10-19,Santos,1.8,1–3,2.4,Bragantino
296,2023-10-18,Bahia,2.0,1–0,0.6,Internacional
297,2023-10-18,Vasco da Gama,2.0,1–0,0.7,Fortaleza
298,2023-10-18,Goiás,0.5,2–0,0.5,São Paulo
299,2023-10-19,Fluminense,1.9,3–3,2.1,Corinthians
301,2023-10-21,Cuiabá,1.3,1–1,1.8,Goiás
302,2023-10-21,São Paulo,3.2,3–0,0.1,Grêmio
303,2023-10-21,Bahia,1.2,2–0,0.5,Fortaleza
304,2023-10-22,Botafogo (RJ),0.9,1–1,1.1,Ath Paranaense
305,2023-10-22,Atlético Mineiro,0.6,0–1,0.9,Cruzeiro
306,2023-10-22,Internacional,1.6,7–1,1.6,Santos
307,2023-10-22,Flamengo,0.5,1–0,1.1,Vasco da Gama
308,2023-10-22,Corinthians,1.3,1–1,0.7,América (MG)
309,2023-10-22,Coritiba,0.6,0–2,1.1,Palmeiras
310,2023-10-22,Bragantino,2.2,1–0,0.5,Fluminense
312,2023-10-25,Ath Paranaense,3.1,3–2,0.9,América (MG)
313,2023-10-25,Bragantino,1.9,1–2,1.4,Atlético Mineiro
314,2023-10-25,Fluminense,2.7,5–3,0.6,Goiás
315,2023-10-25,Cruzeiro,2.0,3–0,0.3,Bahia
316,2023-10-25,Palmeiras,2.4,5–0,0.1,São Paulo
317,2023-10-26,Vasco da Gama,1.0,1–2,1.6,Internacional
318,2023-10-25,Cuiabá,0.6,0–1,1.4,Corinthians
319,2023-10-25,Grêmio,1.0,3–2,1.1,Flamengo
320,2023-10-26,Santos,2.2,2–1,0.8,Coritiba
322,2023-10-28,América (MG),2.4,3–4,2.1,Grêmio
323,2023-10-28,Palmeiras,1.7,1–0,0.1,Bahia
324,2023-10-29,Ath Paranaense,1.2,1–1,0.6,São Paulo
325,2023-10-29,Goiás,1.1,1–1,0.9,Vasco da Gama
326,2023-10-29,Corinthians,1.2,1–1,1.3,Santos
327,2023-10-29,Internacional,2.7,3–4,2.7,Coritiba
328,2023-10-29,Botafogo (RJ),2.0,0–1,1.1,Cuiabá
329,2023-10-28,Atlético Mineiro,1.2,2–0,0.8,Fluminense
331,2023-10-31,Bahia,0.5,1–0,0.7,Fluminense
332,2023-11-01,Corinthians,1.0,1–0,0.8,Ath Paranaense
333,2023-11-01,Internacional,1.3,1–1,0.3,América (MG)
334,2023-11-01,Coritiba,1.5,1–2,1.4,Grêmio
335,2023-11-01,Flamengo,1.2,1–2,0.6,Santos
336,2023-11-02,Cuiabá,0.6,0–2,1.4,Vasco da Gama
337,2023-11-02,Goiás,1.4,0–2,3.1,Bragantino
338,2023-11-02,São Paulo,0.7,1–0,1.0,Cruzeiro
339,2023-11-01,Atlético Mineiro,2.3,3–1,0.4,Fortaleza
340,2023-11-01,Botafogo (RJ),3.5,3–4,1.7,Palmeiras
342,2023-11-04,Grêmio,0.5,1–0,0.9,Bahia
343,2023-11-04,América (MG),1.4,1–1,1.0,Atlético Mineiro
344,2023-11-05,Cruzeiro,1.4,1–2,0.6,Internacional
345,2023-11-05,Fortaleza,0.8,0–2,0.7,Flamengo
346,2023-11-05,Bragantino,1.1,1–0,0.3,Corinthians
347,2023-11-05,Coritiba,0.3,0–1,1.3,Goiás
348,2023-11-04,Palmeiras,1.5,1–0,0.6,Ath Paranaense
349,2023-11-06,Vasco da Gama,0.5,1–0,0.5,Botafogo (RJ)
350,2023-11-06,Santos,0.1,0–0,0.5,Cuiabá
352,2023-11-08,América (MG),0.4,0–3,0.9,Coritiba
353,2023-11-08,Internacional,1.1,0–0,0.5,Fluminense
354,2023-11-08,São Paulo,2.0,1–0,0.5,Bragantino
355,2023-11-08,Ath Paranaense,1.2,1–1,0.7,Fortaleza
356,2023-11-09,Corinthians,1.5,1–1,1.1,Atlético Mineiro
357,2023-11-09,Goiás,0.8,0–1,0.9,Santos
358,2023-11-09,Botafogo (RJ),1.4,3–4,2.0,Grêmio
359,2023-11-09,Bahia,0.7,0–3,2.0,Cuiabá
360,2023-11-08,Flamengo,1.4,3–0,1.0,Palmeiras
362,2023-11-11,Coritiba,0.7,1–0,0.6,Cruzeiro
363,2023-11-11,Flamengo,0.9,1–1,1.4,Fluminense
364,2023-11-12,Bragantino,2.9,2–2,0.8,Botafogo (RJ)
365,2023-11-12,Grêmio,1.4,0–1,0.6,Corinthians
366,2023-11-12,Cuiabá,1.6,2–1,0.5,Fortaleza
367,2023-11-12,Santos,0.6,0–0,1.2,São Paulo
368,2023-11-12,Vasco da Gama,1.7,2–1,2.5,América (MG)
369,2023-11-12,Bahia,2.5,1–1,0.7,Ath Paranaense
370,2023-11-12,Atlético Mineiro,1.2,2–1,1.0,Goiás
371,2023-11-11,Palmeiras,1.7,3–0,0.7,Internacional
373,2023-11-18,Fortaleza,1.2,0–1,0.9,Cruzeiro
375,2023-11-22,Cruzeiro,1.5,2–2,0.8,Vasco da Gama
377,2023-11-23,Fortaleza,2.0,2–2,0.8,Botafogo (RJ)
379,2023-11-22,Fluminense,1.0,1–0,0.1,São Paulo
381,2023-11-23,Flamengo,1.1,1–0,1.3,Bragantino
383,2023-11-25,Ath Paranaense,1.5,0–0,0.6,Vasco da Gama
384,2023-11-24,Corinthians,0.9,1–5,2.7,Bahia
385,2023-11-26,Atlético Mineiro,2.1,3–0,1.3,Grêmio
386,2023-11-26,Botafogo (RJ),1.6,1–1,0.3,Santos
387,2023-11-26,Internacional,1.1,1–0,0.5,Bragantino
388,2023-11-26,São Paulo,0.8,0–0,0.1,Cuiabá
389,2023-11-26,Fortaleza,1.8,2–2,0.8,Palmeiras
390,2023-11-26,América (MG),0.5,0–3,3.0,Flamengo
391,2023-11-25,Fluminense,1.9,2–1,0.8,Coritiba
392,2023-11-27,Goiás,0.4,0–1,0.9,Cruzeiro
394,2023-11-29,Santos,1.5,0–3,1.1,Fluminense
395,2023-11-29,Cuiabá,0.6,0–2,1.4,Internacional
396,2023-11-29,Flamengo,1.0,0–3,1.2,Atlético Mineiro
397,2023-11-29,Bahia,0.9,0–1,1.0,São Paulo
398,2023-11-28,Vasco da Gama,1.4,2–4,1.4,Corinthians
399,2023-11-30,Grêmio,1.1,2–1,0.6,Goiás
400,2023-11-30,Cruzeiro,3.6,1–1,1.0,Ath Paranaense
401,2023-11-30,Bragantino,1.5,1–2,0.7,Fortaleza
402,2023-11-29,Palmeiras,3.2,4–0,0.1,América (MG)
403,2023-11-29,Coritiba,1.7,1–1,2.0,Botafogo (RJ)
405,2023-12-02,Corinthians,1.8,1–2,1.0,Internacional
406,2023-12-03,Flamengo,1.5,2–1,0.8,Cuiabá
407,2023-12-03,Palmeiras,2.0,1–0,0.3,Fluminense
408,2023-12-03,Grêmio,0.8,1–0,0.8,Vasco da Gama
409,2023-12-03,Ath Paranaense,1.0,3–0,0.7,Santos
410,2023-12-03,América (MG),1.2,3–2,3.7,Bahia
411,2023-12-03,Bragantino,2.1,1–0,0.3,Coritiba
412,2023-12-03,Botafogo (RJ),1.0,0–0,0.9,Cruzeiro
413,2023-12-03,Fortaleza,1.2,1–0,0.3,Goiás
414,2023-12-02,Atlético Mineiro,0.8,2–1,1.9,São Paulo
416,2023-12-06,Goiás,0.9,1–0,0.9,América (MG)
417,2023-12-06,Cuiabá,2.4,3–0,1.0,Ath Paranaense
418,2023-12-06,Santos,1.0,1–2,1.2,Fortaleza
419,2023-12-06,Bahia,1.4,4–1,1.1,Atlético Mineiro
420,2023-12-06,Coritiba,0.6,0–2,0.9,Corinthians
421,2023-12-06,Fluminense,2.4,2–3,2.4,Grêmio
422,2023-12-06,São Paulo,0.5,1–0,0.4,Flamengo
423,2023-12-06,Cruzeiro,1.6,1–1,1.4,Palmeiras
424,2023-12-06,Internacional,1.2,3–1,0.4,Botafogo (RJ)
425,2023-12-06,Vasco da Gama,1.6,2–1,0.8,Bragantino
