,Número de jogos,Pontuação média,Desvio padrão da média de pontos,xG a Favor médio,Desvio padrão do xG a Favor,xG Contra médio,Desvio padrão do xG Contra
Luis Castro,12,2.5,1.1677484162422844,1.575,0.9630680142129112,1.2750000000000001,0.9066672237074939
Claudio Caçapa,3,3.0,0.0,1.2666666666666666,0.3785938897200181,1.3,0.36055512754639896
Bruno Lage,10,1.3,1.2516655570345725,1.01,0.7665941994736634,1.03,0.3433495141818157
Lucio Flávio,8,1.0,1.3093073414159542,1.4375,1.0169105874447089,1.6625,0.8846912294289863
Tiago Nunes,5,0.8,0.4472135954999579,1.16,0.6387487769068525,1.22,0.6685805860178711
