,Date,Home Team,Score,Away Team
127,2023-06-11,Avaí,1–1,Botafogo (SP)
128,2023-06-11,Vitória,0–1,Criciúma
129,2023-06-11,Juventude,1–2,Tombense Futebol Clube
131,2023-06-18,Sport Recife,1–0,Vila Nova
133,2023-06-21,CRB,2–2,Ituano
134,2023-06-23,Atl Goianiense,1–0,Ponte Preta
135,2023-06-22,Sport Recife,3–0,Juventude
136,2023-06-24,Botafogo (SP),0–3,Vila Nova
137,2023-06-24,Avaí,0–0,Londrina
138,2023-06-24,Chapecoense,1–1,Criciúma
139,2023-06-24,Tombense Futebol Clube,1–2,Grêmio Novorizontino
140,2023-06-25,Mirassol Futebol Clube,3–2,ABC
141,2023-06-25,Sampaio Corrêa,1–1,Ceará
142,2023-06-25,Guarani,2–0,Vitória
144,2023-06-27,Chapecoense,1–1,Sport Recife
145,2023-06-27,Criciúma,2–1,CRB
146,2023-06-28,ABC,1–1,Atl Goianiense
147,2023-06-28,Ceará,0–0,Avaí
148,2023-06-27,Vila Nova,1–0,Tombense Futebol Clube
149,2023-06-27,Grêmio Novorizontino,0–1,Botafogo (SP)
150,2023-06-28,Guarani,2–1,Mirassol Futebol Clube
151,2023-06-28,Ituano,0–1,Ponte Preta
152,2023-06-28,Londrina,1–2,Juventude
153,2023-06-28,Vitória,2–1,Sampaio Corrêa
155,2023-07-01,Atl Goianiense,1–1,Vila Nova
156,2023-07-01,Avaí,0–2,ABC
157,2023-07-01,Sampaio Corrêa,0–2,Criciúma
158,2023-07-01,CRB,2–1,Londrina
159,2023-06-30,Tombense Futebol Clube,4–2,Chapecoense
160,2023-07-02,Juventude,1–0,Vitória
161,2023-07-02,Sport Recife,2–0,Ceará
162,2023-07-02,Ponte Preta,1–0,Grêmio Novorizontino
163,2023-07-03,Mirassol Futebol Clube,0–1,Ituano
164,2023-07-03,Botafogo (SP),1–0,Guarani
166,2023-07-05,CRB,2–0,Sport Recife
168,2023-07-07,Grêmio Novorizontino,2–2,Atl Goianiense
169,2023-07-08,Guarani,2–1,Londrina
170,2023-07-08,ABC,0–1,Criciúma
171,2023-07-08,Ituano,1–1,Juventude
172,2023-07-08,Avaí,0–1,Ponte Preta
173,2023-07-08,Tombense Futebol Clube,0–1,Sampaio Corrêa
174,2023-07-07,Ceará,3–0,Botafogo (SP)
175,2023-07-09,Chapecoense,2–1,CRB
176,2023-07-09,Sport Recife,0–0,Mirassol Futebol Clube
177,2023-07-10,Vila Nova,1–0,Vitória
179,2023-07-13,Criciúma,1–1,Guarani
180,2023-07-15,Juventude,1–1,ABC
181,2023-07-15,Londrina,1–0,Vila Nova
182,2023-07-15,Ponte Preta,0–1,Tombense Futebol Clube
183,2023-07-14,Atl Goianiense,3–1,Sport Recife
184,2023-07-14,Sampaio Corrêa,0–0,Ituano
185,2023-07-16,Mirassol Futebol Clube,1–1,Ceará
186,2023-07-16,Vitória,2–1,Grêmio Novorizontino
188,2023-07-17,Botafogo (SP),1–0,Criciúma
189,2023-07-18,Tombense Futebol Clube,2–1,CRB
190,2023-07-18,Chapecoense,1–0,Ituano
191,2023-07-19,Grêmio Novorizontino,3–0,Londrina
192,2023-07-19,Atl Goianiense,2–2,Mirassol Futebol Clube
193,2023-07-18,Ponte Preta,0–0,Juventude
194,2023-07-19,Sport Recife,1–2,Vitória
195,2023-07-19,Avaí,2–0,Sampaio Corrêa
196,2023-07-19,ABC,0–1,Guarani
197,2023-07-19,Ceará,1–0,Vila Nova
199,2023-07-21,CRB,1–0,Ponte Preta
200,2023-07-22,Mirassol Futebol Clube,2–0,Tombense Futebol Clube
201,2023-07-22,Vila Nova,1–1,ABC
202,2023-07-22,Criciúma,0–1,Grêmio Novorizontino
203,2023-07-22,Ituano,0–1,Avaí
204,2023-07-23,Guarani,1–0,Atl Goianiense
205,2023-07-23,Juventude,1–0,Ceará
206,2023-07-23,Sampaio Corrêa,1–2,Sport Recife
207,2023-07-24,Vitória,1–0,Chapecoense
208,2023-07-24,Londrina,1–2,Botafogo (SP)
210,2023-07-28,Ceará,1–1,Ituano
211,2023-07-29,Chapecoense,0–1,Mirassol Futebol Clube
212,2023-07-29,Botafogo (SP),0–2,Juventude
213,2023-07-29,ABC,0–0,Londrina
214,2023-07-29,Avaí,1–2,Guarani
215,2023-07-29,Atl Goianiense,2–2,Sampaio Corrêa
216,2023-07-28,Sport Recife,2–0,CRB
217,2023-07-30,Tombense Futebol Clube,2–2,Criciúma
218,2023-07-30,Grêmio Novorizontino,3–1,Vila Nova
219,2023-07-30,Ponte Preta,2–2,Vitória
221,2023-08-01,Sampaio Corrêa,0–0,Botafogo (SP)
222,2023-08-01,Mirassol Futebol Clube,2–2,Avaí
223,2023-08-02,Criciúma,2–1,Ponte Preta
224,2023-08-02,Ituano,1–0,Tombense Futebol Clube
225,2023-08-01,CRB,2–1,Atl Goianiense
226,2023-08-02,Vitória,2–0,ABC
227,2023-08-02,Vila Nova,0–1,Sport Recife
228,2023-08-02,Juventude,1–0,Grêmio Novorizontino
229,2023-08-02,Londrina,1–1,Chapecoense
230,2023-08-02,Guarani,0–0,Ceará
232,2023-08-05,Avaí,1–0,Criciúma
