,Número de jogos,Pontuação média,Desvio padrão da média de pontos
Eduardo Barroca,12,1.75,1.3568010505999362
Guto Ferreira,11,1.2727272727272727,1.1908743922772955
Vagner Mancini,13,1.1538461538461537,1.344504484072964
