,Número de jogos,Pontuação média,Desvio padrão da média de pontos,xG a Favor médio,Desvio padrão do xG a Favor,xG Contra médio,Desvio padrão do xG Contra
Pepa,21,1.1904761904761905,1.2497618820818477,1.3333333333333333,0.6460134157533675,1.2857142857142858,0.635834659550511
Zé Ricardo,10,1.1,1.3703203194062976,0.9400000000000001,0.5211099265563414,0.76,0.4168666186896929
Paulo Autuori,6,1.6666666666666667,1.0327955589886444,1.5666666666666667,1.04626319187223,0.9666666666666667,0.34448028487370164
